,file_names,genned_set_name,new_file_names
28,Alfred-Sisley-Sunset-at-Port-Marly-S-2.jpg,Alfred-Sisley-Sunset-at-Port-Marly-S,aaaaa_Alfred-Sisley-Sunset-at-Port-Marly-S-2.jpg
29,Alfred-Sisley-The-Saint-Martin-Canal-in-Paris-S-2.jpg,Alfred-Sisley-The-Saint-Martin-Canal-in-Paris-S,aaaaa_Alfred-Sisley-The-Saint-Martin-Canal-in-Paris-S-2.jpg
30,Alfred-Sisley-The-Seine-at-Point-du-Jour-S-2.jpg,Alfred-Sisley-The-Seine-at-Point-du-Jour-S,aaaaa_Alfred-Sisley-The-Seine-at-Point-du-Jour-S-2.jpg
31,AlfredSisley-BridgeatVilleneuvelaGarenne--(1872)(50x65CM)-S-2.jpg,AlfredSisley-BridgeatVilleneuvelaGarenne--(1872)(50x65CM)-S,aaaaa_AlfredSisley-BridgeatVilleneuvelaGarenne--(1872)(50x65CM)-S-2.jpg
32,Amedeo-Modigliani-Reclining-Nude-with-Blue-Cushion-S-2.jpg,Amedeo-Modigliani-Reclining-Nude-with-Blue-Cushion-S,aaaaa_Amedeo-Modigliani-Reclining-Nude-with-Blue-Cushion-S-2.jpg
33,Amedeo-Modigliani-Seated-Nude-on-Divan-S-2.jpg,Amedeo-Modigliani-Seated-Nude-on-Divan-S,aaaaa_Amedeo-Modigliani-Seated-Nude-on-Divan-S-2.jpg
34,Andrea-Mantegna-The-Lamentation-over-the-Dead-Christ-S-2.jpg,Andrea-Mantegna-The-Lamentation-over-the-Dead-Christ-S,aaaaa_Andrea-Mantegna-The-Lamentation-over-the-Dead-Christ-S-2.jpg
35,Andrew+Wyeth-Christina+s+World-S-2.jpg,Andrew+Wyeth-Christina+s+World-S,aaaaa_Andrew+Wyeth-Christina+s+World-S-2.jpg
36,Andy+Warhol-Marilyn-S-2.jpg,Andy+Warhol-Marilyn-S,aaaaa_Andy+Warhol-Marilyn-S-2.jpg
37,Andy-Warhol-Big-electric-chair-S-2.jpg,Andy-Warhol-Big-electric-chair-S,aaaaa_Andy-Warhol-Big-electric-chair-S-2.jpg
38,Andy-Warhol-Campbell+S-Soup-Can-beef--S-2.jpg,Andy-Warhol-Campbell+S-Soup-Can-beef--S,aaaaa_Andy-Warhol-Campbell+S-Soup-Can-beef--S-2.jpg
39,Andy-Warhol-Campbell+S-Soup-Can-onion--S-2.jpg,Andy-Warhol-Campbell+S-Soup-Can-onion--S,aaaaa_Andy-Warhol-Campbell+S-Soup-Can-onion--S-2.jpg
40,Andy-Warhol-Campbell-S-Soup-Can-tomato--S-2.jpg,Andy-Warhol-Campbell-S-Soup-Can-tomato--S,aaaaa_Andy-Warhol-Campbell-S-Soup-Can-tomato--S-2.jpg
41,Andy-Warhol-Marilyn-leo-castelli-gallery-new-york-S-2.jpg,Andy-Warhol-Marilyn-leo-castelli-gallery-new-york-S,aaaaa_Andy-Warhol-Marilyn-leo-castelli-gallery-new-york-S-2.jpg
42,Andy-Warhol-Red-Race-Riot-S-2.jpg,Andy-Warhol-Red-Race-Riot-S,aaaaa_Andy-Warhol-Red-Race-Riot-S-2.jpg
43,Andy-Warhol-Triple-Elvis-S-2.jpg,Andy-Warhol-Triple-Elvis-S,aaaaa_Andy-Warhol-Triple-Elvis-S-2.jpg
44,AndyWarhol-Goldmarilynmonroe-S-2.jpg,AndyWarhol-Goldmarilynmonroe-S,aaaaa_AndyWarhol-Goldmarilynmonroe-S-2.jpg
45,Annibale-Carracci-River-Landscape-S-2.jpg,Annibale-Carracci-River-Landscape-S,aaaaa_Annibale-Carracci-River-Landscape-S-2.jpg
46,Annibale-Carracci-The-Choice-of-Heracles-3--S-2.jpg,Annibale-Carracci-The-Choice-of-Heracles-3--S,aaaaa_Annibale-Carracci-The-Choice-of-Heracles-3--S-2.jpg
47,Anthony-Van-Dyck-Rinaldo-and-Armida-S-2.jpg,Anthony-Van-Dyck-Rinaldo-and-Armida-S,aaaaa_Anthony-Van-Dyck-Rinaldo-and-Armida-S-2.jpg
48,Anthony-Van-Dyck-Samson-and-Delilah-S-2.jpg,Anthony-Van-Dyck-Samson-and-Delilah-S,aaaaa_Anthony-Van-Dyck-Samson-and-Delilah-S-2.jpg
49,Antonio-Allegri-Da-Correggio-Jupiter-and-Io-S-2.jpg,Antonio-Allegri-Da-Correggio-Jupiter-and-Io-S,aaaaa_Antonio-Allegri-Da-Correggio-Jupiter-and-Io-S-2.jpg
50,Arnold-Bocklin-La-Guerre-S-2.jpg,Arnold-Bocklin-La-Guerre-S,aaaaa_Arnold-Bocklin-La-Guerre-S-2.jpg
51,Arshile-Gorky-One-Year-the-Milkweed-S-2.jpg,Arshile-Gorky-One-Year-the-Milkweed-S,aaaaa_Arshile-Gorky-One-Year-the-Milkweed-S-2.jpg
52,Arshile-Gorky-The-Liver-is-the-Cock+s-Comb--S-2.jpg,Arshile-Gorky-The-Liver-is-the-Cock+s-Comb--S,aaaaa_Arshile-Gorky-The-Liver-is-the-Cock+s-Comb--S-2.jpg
53,Arshile-Gorky-Waterfall-2--S-2.jpg,Arshile-Gorky-Waterfall-2--S,aaaaa_Arshile-Gorky-Waterfall-2--S-2.jpg
54,August-Macke-Bathing-girls-with-town-in-the-backgraund-S-2.jpg,August-Macke-Bathing-girls-with-town-in-the-backgraund-S,aaaaa_August-Macke-Bathing-girls-with-town-in-the-backgraund-S-2.jpg
55,August-Macke-Landscape-with-Cows-and-Camel-S-2.jpg,August-Macke-Landscape-with-Cows-and-Camel-S,aaaaa_August-Macke-Landscape-with-Cows-and-Camel-S-2.jpg
56,August-Macke-The-Hat-Shop-S-2.jpg,August-Macke-The-Hat-Shop-S,aaaaa_August-Macke-The-Hat-Shop-S-2.jpg
57,August-Macke-Woman-in-a-Green-Jacket-S-2.jpg,August-Macke-Woman-in-a-Green-Jacket-S,aaaaa_August-Macke-Woman-in-a-Green-Jacket-S-2.jpg
58,Balthus-Balthasar-Klossowski-Girl-with-Cat-S-2.jpg,Balthus-Balthasar-Klossowski-Girl-with-Cat-S,aaaaa_Balthus-Balthasar-Klossowski-Girl-with-Cat-S-2.jpg
59,Barnett-Newman-Black-Fire-I-S-2.jpg,Barnett-Newman-Black-Fire-I-S,aaaaa_Barnett-Newman-Black-Fire-I-S-2.jpg
60,Benjamin-West-The-Death-of-General-Wolfe-S-2.jpg,Benjamin-West-The-Death-of-General-Wolfe-S,aaaaa_Benjamin-West-The-Death-of-General-Wolfe-S-2.jpg
61,Benozzo-Gozzoli-Procession-of-the-Magus-Melchoir-S-2.jpg,Benozzo-Gozzoli-Procession-of-the-Magus-Melchoir-S,aaaaa_Benozzo-Gozzoli-Procession-of-the-Magus-Melchoir-S-2.jpg
62,Bernardo-Bellotto-The-Ruins-of-the-Old-Kreuzkirche-in-Dresde-2.jpg,Bernardo-Bellotto-The-Ruins-of-the-Old-Kreuzkirche-in-Dresde,aaaaa_Bernardo-Bellotto-The-Ruins-of-the-Old-Kreuzkirche-in-Dresde-2.jpg
63,Bernardo-Strozzi-Sleeping-Child-S-2.jpg,Bernardo-Strozzi-Sleeping-Child-S,aaaaa_Bernardo-Strozzi-Sleeping-Child-S-2.jpg
64,Berthe-Morisot-A-Corner-of-the-Rose-Garden-S-2.jpg,Berthe-Morisot-A-Corner-of-the-Rose-Garden-S,aaaaa_Berthe-Morisot-A-Corner-of-the-Rose-Garden-S-2.jpg
65,Berthe-Morisot-The-Cradle-S-2.jpg,Berthe-Morisot-The-Cradle-S,aaaaa_Berthe-Morisot-The-Cradle-S-2.jpg
66,BertheMorisot-AWomanatherToilette-S-2.jpg,BertheMorisot-AWomanatherToilette-S,aaaaa_BertheMorisot-AWomanatherToilette-S-2.jpg
